250 Pooh Bear Lane,Spartanburg,SC,29302,1
1046 Hickory Ridge Drive,Las Vegas,NV,89101,2
1818 Twin Willow Lane,Fayetteville,NC,28301,3
3210 Monroe Street,Houston,TX,77032,4
2805 Burnside Avenue,Salt Lake City,UT,84116,5
2101 Davis Street,Columbus,GA,31901,6
170 Melville Street,Jackson,TN,38301,7
4531 Stadium Drive,Fall River,MA,02720,8
4732 Cherry Tree Drive,Fernandina Beach,FL,32034,9
252 Desert Broom Court,Lakewood,NJ,08701,10
2002 Wilkinson Street,Nashville,TN,37211,11
1760 Roane Avenue,Beltsville,MD,20705,12
2639 Candlelight Drive,Humble,TX,77338,13
2886 Finwood Road,Piscataway,NJ,08854,14
4238 Myra Street,Jamestown,RI,02835,15
4189 Edington Drive,Atlanta,GA,30308,16
4857 Farland Street,Foxboro,MA,02035,17
826 McKinley Avenue,Greenwood Village,CO,80111,18
2892 Howard Street,Wyoming,MI,49509,19
191 Jacobs Street,Pittsburgh,PA,15222,20
3567 New Street,Portland,OR,97205,21
4239 C Street,Burlington,MA,01803,22
1494 New Street,Portland,OR,97205,23
4604 Nickel Road,Pomona,CA,91766,24
3969 Glenwood Avenue,South Euclid,OH,44121,25
4278 Hilltop Drive,Morton,TX,79346,26
1007 Dawson Drive,Little Rock,AR,72201,27
1181 Sardis Station,Minneapolis,MN,55415,28
164 Charmaine Lane,Lubbock,TX,79401,29
2148 Ridenour Street,Miami,FL,33128,30
206 Cambridge Drive,Scottsdale,AZ,85256,31
1264 Morningview Lane,New York,NY,10013,32
2190 Davis Street,Augusta,GA,30901,33
4518 Hart Ridge Road,Grand Rapids,MI,49503,34
3852 Derek Drive,Lisbon,OH,44432,35
4650 D Street,Detroit,MI,48219,36
1321 Joyce Street,Rocky Mount,NC,27804,37
1921 Trails End Road,Miami,FL,33131,38
1222 Cherry Tree Drive,Jacksonville,FL,32207,39
1846 Tea Berry Lane,Bear Creek,WI,54922,40
198 Oakridge Farm Lane,Milwaukee,WI,53202,41
3036 Anthony Avenue,Moran,TX,76464,42
3205 Valley Drive,Philadelphia,PA,19106,43
3454 Chandler Hollow Road,Pittsburgh,PA,15203,44
2987 Rardin Drive,Santa Clara,CA,95050,45
2219 Grove Avenue,Taloga,OK,73667,46
1272 Griffin Street,Phoenix,AZ,85012,47
3228 Broad Street,Birmingham,AL,35222,48
3545 Elsie Drive,Sioux Falls,SD,57102,49
3668 Palmer Road,Columbus,OH,43215,50
3719 Parkview Drive,Los Angeles,CA,90017,51
4280 Yorkshire Circle,Greenville,NC,27834,52
430 Monroe Avenue,Bradenton,FL,34205,53
4537 Leverton Cove Road,Springfield,MA,01109,54
2047 Barnes Avenue,Cincinnati,OH,45202,55
985 Elm Drive,New York,NY,10022,56
3785 Better Street,Kansas City,KS,64108,57
4497 Kelley Road,Biloxi,MS,39531,58
4698 Grim Avenue,San Diego,CA,92111,59
1645 Fairfax Drive,Jersey City,NJ,07305,60
1488 Karen Lane,Waddy,KY,40076,61
1568 Friendship Lane,Santa Clara,CA,95054,62
87 Rinehart Road,Miami,FL,33128,63
4675 Hardesty Street,Albany,NY,12207,64
1524 Ingram Street,Galion,OH,44833,65
