StreetAddress,City,State,AddressID
4651 Lords Way,Paris,TN,1
700 Crummit Lane,Home,NE,2
4734 Comfort Court,La Crosse,WI,3
2464 Spadafore Drive,Wesley,PA,4
1251 Kyle Street,Gering,NE,5
4609 Pooh Bear Lane,Greenville,SC,6
1810 Sycamore Fork Road,Apple Valley,MN,7
2763 Davis Street,Decatur,GA,8
55 Simpson Square,Clinton,OK,9
4041 Bryan Avenue,Saint Paul,MN,10
3102 Ocala Street,Maitland,FL,11
2504 Fieldcrest Road,Bethpage,NY,12
4316 Ray Court,Fayetteville,NC,13
1164 Village View Drive,Fort Myers,FL,14
1491 River Road,Colorado Springs,CO,15
4551 Beech Street,Oakland,CA,16
3759 Thorn Street,Wright,WY,17
321 Progress Way,Minneapolis,MN,18
2599 Illinois Avenue,Tigard,OR,19
2434 Rivendell Drive,Akron,OH,20
4123 Renwick Drive,Fort Washington,PA,21
4938 Harron Drive,Hanover,MD,22
2141 Rafe Lane,Jackson,MS,23
3715 Post Avenue,Mahnomen,MN,24
2596 Parker Drive,Cleveland,OH,25
3020 Hurry Street,Edinburg,VA,26
3381 Court Street,Saint Louis,MO,27
4116 Union Street,Seattle,WA,28
3782 Bridge Street,Tulsa,OK,29
2204 Wood Duck Drive,Marquette,MI,30
2880 Burnside Avenue,Antimony,UT,31
2901 Ferry Street,Huntsville,AL,32
3261 Valley View Drive,Boston,MA,33
2354 Shingleton Road,Oshtemo,MI,34
1869 Edgewood Road,Pine Bluff,AR,35
2644 Kessla Way,Kingstree,SC,36
2011 Pine Tree Lane,Washington,MD,37
2834 Big Elm,Peculiar,MO,38
10 Losh Lane,Crafton,PA,39
1239 Cunningham Court,Westland,MI,40
213 Jerry Toth Drive,Stony River,AK,41
4745 Steele Street,Downers Grove,IL,42
1180 Elk City Road,Indianapolis,IN,43
1781 Mount Tabor,New York,NY,44
1408 Hickory Heights Drive,Hanover,MD,45
3807 Luke Lane,Gene Autry,OK,46
30 Strother Street,Birmingham,AL,47
2250 Blane Street,Saint Louis,MO,48
2601 Mahlon Street,Farmington Hills,MI,49
4386 Alexander Avenue,Concord,CA,50
2796 Cameron Road,Hamburg,NY,51
64 Concord Street,Charlotte,NC,52
739 Havanna Street,Stanleyville,NC,53
1565 Turnpike Drive,Ashland,AL,54
3178 Barnes Street,Kissimmee,FL,55
1947 Michael Street,Houston,TX,56
50 Selah Way,South Burlington,VT,57
2506 Wood Street,Independence,LA,58
4915 Laurel Lane,Coyanosa,TX,59
1182 Science Center Drive,Boise,ID,60
